
"[WEBSITE]","[WEBSITE]"
"[GLOBAL]","[GLOBAL]"
"Discount","Discount"
"Fixed","Fixed"
"Percent","Percent"
"Yes","Yes"
"No","No"
"Amount","Amount"
"Apply","Apply"
"Submit","Submit"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Compound Price","Compound Price"
"Compound Special Price","Compound Special Price"
"Compound Discount Amount","Compound Discount Amount"
"Currencies","Currencies"
"Duplicate website tier price customer group, quantity and currency.","Duplicate website tier price customer group, quantity and currency."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Currencies must be specified.","Currencies must be specified."
"Currency","Currency"
"Price","Price"
"Default Price","Default Price"
"Recalculate By","Recalculate By"
"+","+"
"Default Amount","Default Amount"
"Default","Default"
