"Please select address","Please select address"
"Address","Address"
"Country","Country"
"Region / State","Region / State"
"Zip / Postal Code","Zip / Postal Code"
"City","City"
"Country attribute must be selected.","Country attribute must be selected."
"Attribute \"%s\" is not available in allowed attributes.","Attribute \"%s\" is not available in allowed attributes."
"Your location has been saved.","Your location has been saved."
"Customer Locator","Customer Locator"
"Allow to Modify","Allow to Modify"
"Select Default Shipping Address","Select Default Shipping Address"
"Allowed Attributes","Allowed Attributes"
"Required Attributes","Required Attributes"
"Default Address","Default Address"
"Your Location","Your Location"
"Select from address book","Select from address book"
"State / Province","State / Province"
"Please select region","Please select region"
"or enter","or enter"
"Apply","Apply"
